,GPU MODEL,VRAM,H/s,APP,OS,TDP,DATE,GPU MODEL SPLIT
1242,1050 TI,4 GB DDR5,313,CCMINER 2.2.2,WINDOWS 10 x64,N/A,"Nov, 2017.",['1050 TI']
1243,GTX 1050 TI,4 GB DDR5,313,NICEHASH ,WINDOWS 10 x64,60 W,"Dec, 2017.",['GTX 1050 TI']
1244,XFX RADEON RX 560D,2 GB DDR5,313,CLAYMORE 9.7,WINDOWS 10 x64,N/A,"Dec, 2017.",['XFX RADEON RX 560D']
1245,MSI AERO RX 560 (4G),4 GB DDR5,313,CLAIMORE 11,WINDOWS 10 x64,75 W,"Dec, 2017.",['MSI AERO RX 560 (4G)']
1246,GTX 1050TI,4 GB DDR5,312,XMRMINER 0.2.1,WINDOWS 7 x64,N/A,"Jul, 2017.",['GTX 1050TI']
1247,GIGABYTE GTX 760,2 GB DDR5,312,XMR-STAK-NVIDIA,WINDOWS 10 x64,N/A,"Aug, 2017.",['GIGABYTE GTX 760']
1248,ASUS GEFORCE GTX1050 2GB EXPEDITION OC,2 GB DDR5,312,XMR-STAK-NVIDIA,UBUNTU 16.10 x64,65 W,"Sep, 2017.",['ASUS GEFORCE GTX1050 2GB EXPEDITION OC']
1249,MSI GEFORCE GTX 760 OC,2 GB DDR5,312,XMR-STAK,UBUNTU 16.04 x64,N/A,"Dec, 2017.",['MSI GEFORCE GTX 760 OC']
1250,SAPHIRE RX 460 2GB,2 GB DDR5,311,CLAYMORE 9.5,WINDOWS 10 x64,N/A,"Sep, 2016.",['SAPHIRE RX 460 2GB']
1251,GTX 1050TI (LAPTOP),4 GB DDR5,311,XMRIG,WINDOWS 10 x64,N/A,"Dec, 2017.",['GTX 1050TI (LAPTOP)']
1252,MSI GTX 1050,2 GB DDR5,311,XMR-STAK-NVIDIA,WINDOWS 10 x64,75 W,"Dec, 2017.",['MSI GTX 1050']
1253,GTX 1050TI (LAPTOP),4 GB DDR5,311,XMRIG,WINDOWS 10 x64,N/A,"Dec, 2017.",['GTX 1050TI (LAPTOP)']
1254,ASUS STRIX RX 460 2GB,2 GB DDR5,310,CLAYMORE 9.7,WINDOWS 7 x64,60 W,"Feb, 2017.",['ASUS STRIX RX 460 2GB']
1255,SAPPHIRE RX 460 OC,2 GB DDR5,310,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA,WINDOWS 7 x64,N/A,"May, 2017.",['SAPPHIRE RX 460 OC']
1256,ASUS RX 460 2GB,2 GB DDR3,310,CLAYMORE  V9.7,WINDOWS 7 x64,N/A,"Jul, 2017.",['ASUS RX 460 2GB']
1257,RX 550,2 GB DDR5,310,CLAYMORE 9.7,WINDOWS 10 x64,60 W,"Jul, 2017.",['RX 550']
1258,POWERCOLOR AMD RX460,2 GB DDR3,310,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA,WINDOWS 10 x64,75 W,"Aug, 2017.",['POWERCOLOR AMD RX460']
1259,ZOTAC GTX 760,2 GB DDR5,310,"XMR-STAK-NVIDIA (threads : 24, blocks : 18)",WINDOWS 10 x64,N/A,"Aug, 2017.",['ZOTAC GTX 760']
1260,RX-560,2 GB DDR5,310,XMR-STAK-AMD,UBUNTU 16.04 x64,N/A,"Sep, 2017.",['RX-560']
1261,MSI GTX 1050 TI OC 4GB X1,4 GB DDR5,310,MINERGATE 6.9,WINDOWS 8.1 x64,N/A,"Sep, 2017.",['MSI GTX 1050 TI OC 4GB X1']
1262,PALIT GTX 660,2 GB DDR5,310,XMR-STAK-NVIDIA-NOTLS,WINDOWS 10 x64,140 W,"Sep, 2017.",['PALIT GTX 660']
1263,EVGA GTX-1050TI SC,4 GB DDR5,310,XMRMINER 0.2.1,UBUNTU 16.04 x64,N/A,"Nov, 2017.",['EVGA GTX-1050TI SC']
1264,NVIDIA 1050TI 4GB PALIT STORMX SMALL,4 GB DDR5,310,"XMR-STAK-NVIDIA { ""INDEX"" : 0, ""THREADS"" : 64, ""BLOCKS"" : 18, ""BFACTOR"" : 8, ""BSLEEP"" :  100, ""AFFINE_TO_CPU"" : FALSE}",WINDOWS 10 x64,75 W,"Nov, 2017.",['NVIDIA 1050TI 4GB PALIT STORMX SMALL']
1265,GTX 660 GIGABYTE,2 GB DDR5,310,"XMR STACK 2.0 (SAMSUMG MEMORY 1150/1760 TDP 70 % XMR-CONFIG ""THREADS"" : 25, ""BLOCKS"" : 20)",WINDOWS 10 x64,120 W,"Dec, 2017.",['GTX 660 GIGABYTE']
1266,MSI RADEON RX 560 AERO ITX OC EDITION,4 GB DDR5,310,CLAYMORE CRYPTONOTE GPU MINER V10.2,WINDOWS 10 x64,N/A,"Dec, 2017.",['MSI RADEON RX 560 AERO ITX OC EDITION']
1267,ASUS RX 460 2GB (ASUS DUAL-RX460-2G),2 GB DDR5,308,CLAYMORE V9.7 BETA,WINDOWS 7 x64,N/A,"Mar, 2017.",['ASUS RX 460 2GB (ASUS DUAL-RX460-2G)']
1268,MSI GEFORCE GTX 1050 2GT LP,2 GB DDR5,308,XMRMINER (-l 8x60 --bfactor=8 --bsleep=100),UBUNTU 17.04 x64,75 W,"Aug, 2017.",['MSI GEFORCE GTX 1050 2GT LP']
1269,RX 460 POWECOLOR 2GB,2 GB DDR5,307,CLAYMORE 10.2,WINDOWS 10 x64,N/A,"Oct, 2017.",['RX 460 POWECOLOR 2GB']
1270,SAPPHIRE AMD RADEON RX 560,4 GB DDR3,307,CLAYMORE 10.2,WINDOWS 10 x64,N/A,"Dec, 2017.",['SAPPHIRE AMD RADEON RX 560']
1271,ASUS 1050TI STRIX,4 GB DDR5,305,XMR-STAK-NVIDIA,OTHER LINUX OS x64,105 W,"Sep, 2017.",['ASUS 1050TI STRIX']
1272,GTX 770 2GB,2 GB DDR5,305,XMR-STAK-NVIDIA,WINDOWS 10 x64,N/A,"Sep, 2017.",['GTX 770 2GB']
1273,GIGABYTE GEFORCE GTX 1050TI,4 GB DDR5,305,XMR-STAK-NVIDIA,UBUNTU 17.04 x64,N/A,"Nov, 2017.",['GIGABYTE GEFORCE GTX 1050TI']
1274,GIGABYTE GTX 570 (OC TO 856MHZ),1 GB DDR5,305,XMRIG-NVIDIA,WINDOWS 8.1 x64,N/A,"Dec, 2017.",['GIGABYTE GTX 570 (OC TO 856MHZ)']
1275,ASUS STRIX GTX 950,2 GB DDR5,305,XMRIG-NVIDIA 2.4.2,WINDOWS 7 x64,N/A,"Dec, 2017.",['ASUS STRIX GTX 950']
1276,GIGABYTE GTX 1050 TI,4 GB DDR5,302,CCMINER,WINDOWS 10 x64,60 W,"Apr, 2017.",['GIGABYTE GTX 1050 TI']
1277,AMD RX 460,2 GB DDR5,302,XMR-STAK-AMD,UBUNTU 16.04 x64,75 W,"May, 2017.",['AMD RX 460']
1278,XFX RX 550,4 GB DDR5,302,XMR-STAK-AMD,WINDOWS 10 x64,60 W,"Jul, 2017.",['XFX RX 550']
1279,POWERCOLOR RED DRAGON RX 460 2GB,2 GB DDR3,302,WOLF XMR MINER V0.4,WINDOWS 10 x64,75 W,"Jul, 2017.",['POWERCOLOR RED DRAGON RX 460 2GB']
1280,GTX 1050 TI 4GB,4 GB DDR5,301,CCMINER,WINDOWS 10 x64,75 W,"Dec, 2016.",['GTX 1050 TI 4GB']
1281,EVGA GTX 560TI,1 GB DDR5,301,MINERGATE 7.0,WINDOWS 10 x64,N/A,"Nov, 2017.",['EVGA GTX 560TI']
1282,GTX570,1 GB DDR5,300,WOLF GPU MINER,WINDOWS 10 x64,225 W,"Sep, 2016.",['GTX570']
1283,RX 460,2 GB DDR5,300,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA - POOL,WINDOWS 8.1 x64,75 W,"Apr, 2017.",['RX 460']
1284,MSI RX460 OC 2G,2 GB DDR5,300,CLAYMORE V9.6BETA,WINDOWS 10 x64,N/A,"Jul, 2017.",['MSI RX460 OC 2G']
1285,RADEON RX 580,8 GB DDR5,300,MINERGATE,WINDOWS 10 x64,180 W,"Sep, 2017.",['RADEON RX 580']
1286,AMD RADEON R8 M445DX,2 GB DDR3,300,CLAYMORE'S 9.7,WINDOWS 10 x64,N/A,"Oct, 2017.",['AMD RADEON R8 M445DX']
1287,RX 550,2 GB DDR5,300,XMR STAK AMD,WINDOWS 7 x64,N/A,"Oct, 2017.",['RX 550']
1288,ASUS HD 6870,1 GB DDR5,300,CLAYMORE 9.7,WINDOWS 10 x64,230 W,"Nov, 2017.",['ASUS HD 6870']
1289,GIGABYTE GEFORCE GTX 1050TI,4 GB DDR5,300,CCMINER 2.2,WINDOWS 10 x64,N/A,"Dec, 2017.",['GIGABYTE GEFORCE GTX 1050TI']
1290,GTX 1050TI  ASUS PH-GTX1050TI-4G,4 GB DDR5,300,MINERGATE V7.1 WIN7 64 BIT WITH ONLY 2 GB RAM,WINDOWS 7 x64,65 W,"Dec, 2017.",['GTX 1050TI  ASUS PH-GTX1050TI-4G']
1291,POWERCOLOR AMD RADEON RX 560,2 GB DDR5,300,XMR-STAK-X64,WINDOWS 10 x64,N/A,"Dec, 2017.",['POWERCOLOR AMD RADEON RX 560']
1292,GTX 460,1 GB DDR5,300,MINERGATE 7.2,UBUNTU 16.04 x64,N/A,"Dec, 2017.",['GTX 460']
1293,NVIDIA GTX 970,4 GB DDR5,300,MINERGATE 7.2,WINDOWS 10 x64,N/A,"Dec, 2017.",['NVIDIA GTX 970']
1294,EVGA GTX 750TI,2 GB DDR5,300,"XMR STAK NVIDIA- +350MHZ CLOCK, +650MHZ MEM CLOCK",WINDOWS 10 x64,N/A,"Dec, 2017.",['EVGA GTX 750TI']
1295,ZOTAC GEFORCE GTX 1050 2GB,2 GB DDR5,299,XMRMINER_0.2.1 (LAUNCH = 8X60),WINDOWS 10 x64,75 W,"Apr, 2017.",['ZOTAC GEFORCE GTX 1050 2GB']
1296,GIGABYTE GEFORCE GTX 1050TI WINDFORCE OC,4 GB DDR5,298,XMR-STAK-NVIDIA,WINDOWS 10 x64,75 W,"Jun, 2017.",['GIGABYTE GEFORCE GTX 1050TI WINDFORCE OC']
1297,GTX 1050 (OC +279 MHZ CORE +1000 MHZ MEM),4 GB DDR5,298,"XMR-STAK-NVIDIA (9 threads 32 blocks, bsleep 0)",WINDOWS 10 x64,75 W,"Sep, 2017.",['GTX 1050 (OC +279 MHZ CORE +1000 MHZ MEM)']
1298,EVGA 750 TI,2 GB DDR5,298,XMR-STAK-NVIDIA,WINDOWS 10 x64,N/A,"Oct, 2017.",['EVGA 750 TI']
1299,SAPPHIRE RADEON HD 7850 1GB DDR5,1 GB DDR5,296,CLAYMORE 9.7,WINDOWS 10 x64,N/A,"Sep, 2017.",['SAPPHIRE RADEON HD 7850 1GB DDR5']
1300,RX 560,4 GB DDR5,294,XMR-STAK-AMD,WINDOWS 10 x64,71 W,"Jul, 2017.",['RX 560']
1301,POWERCOLOR 6870,1 GB DDR5,293,CLAYMORE CRYPTONIGHT 9.7,WINDOWS 7 x64,150 W,"Dec, 2017.",['POWERCOLOR 6870']
1302,MSI GEFORCE 760 GTX (N760),2 GB DDR5,292,"XMR-STAK-NVIDIA ""index"" : 0, ""threads"" : 24, ""blocks"" : 18, ""bfactor"" : 8, ""bsleep"" :  100, ""affine_to_cpu"" : ",WINDOWS 10 x64,170 W,"Aug, 2017.",['MSI GEFORCE 760 GTX (N760)']
1303,NVIDIA GEFORCE GTX 980M,8 GB DDR5,292,CCMINER 2.2.2,WINDOWS 10 x64,N/A,"Dec, 2017.",['NVIDIA GEFORCE GTX 980M']
1304,GTX 1050,4 GB DDR5,291,XMR-STAK-NVIDIA,UBUNTU 16.04 x64,N/A,"Aug, 2017.",['GTX 1050']
1305,GEFORCE GTX 960 SSC 2 GB,2 GB DDR5,291,"XMR-STAK_V2.2.0 ""THREADS"" :12, ""BLOCKS"" :30,""BFACTOR"" : 8, ""BSLEEP"" :1000",WINDOWS 10 x64,72 W,"Dec, 2017.",['GEFORCE GTX 960 SSC 2 GB']
1306,MSI GTX 280 TWIN FROZRIII,1 GB DDR3,290,CCMINER 2.0 X64 (APRIL 2017),WINDOWS 7 x64,250 W,"Apr, 2017.",['MSI GTX 280 TWIN FROZRIII']
1307,NVIDIA 1050 2GB (OC +100/+1000),2 GB DDR5,290,CCMINER 2.2.1 40x15,UBUNTU 16.04 x64,60 W,"Sep, 2017.",['NVIDIA 1050 2GB (OC +100/+1000)']
1308,SAPPHIRE PULSE RADEON RX 550 OC,4 GB DDR5,290,SGMINER 5.5.5,WINDOWS 10 x64,N/A,"Sep, 2017.",['SAPPHIRE PULSE RADEON RX 550 OC']
1309,SAPPHIRE PULSE RX 550 4GB,4 GB DDR5,290,MINERGATE,WINDOWS 10 x64,N/A,"Sep, 2017.",['SAPPHIRE PULSE RX 550 4GB']
1310,GTX 750 TI,2 GB DDR5,290,XMR STAK NVIDIA,WINDOWS 10 x64,70 W,"Oct, 2017.",['GTX 750 TI']
1311,MSI RX 550 AERO ITX OC 2GB GDDR5,2 GB DDR5,289,CLAYMORE XMR GPU    -H 512    43 WATT IN GPUZ   GPU:1339 MEMORY:1874 POWER:+62,WINDOWS 10 x64,60 W,"Nov, 2017.",['MSI RX 550 AERO ITX OC 2GB GDDR5']
1312,SAPPHIRE RX 560 PULSE,2 GB DDR5,288,CLAYMORE 9.7,WINDOWS 7 x64,90 W,"Sep, 2017.",['SAPPHIRE RX 560 PULSE']
1313,RX 550 AERO ITX 2G OC (STOCK),2 GB DDR5,287,"XMR-STAK-AMD (INTENSITY 512, WORKSIZE 8)",WINDOWS 10 x64,N/A,"Nov, 2017.",['RX 550 AERO ITX 2G OC (STOCK)']
1314,750TI,2 GB DDR5,287,CCMINER -L 60X4 --MEM-CLOCK=+595 --GPU-CLOCK=1400,WINDOWS 10 x64,60 W,"Dec, 2017.",['750TI']
1315,GTX 470 ZOTAC,1 GB DDR5,286,"XMRIG-2.3.1-MSVC-WIN64; BACKGROUND FALSE, PRINT-TIME 25, RETRIES 5, RETRY-PAUSE 1, THREADS 11, BLOCKS 42, BFACTOR 1, BSLEEP 25;  LARGE PAGE SUPPORT ON;  RUN AS ADMIN; OC:",WINDOWS 10 x64,366 W,"Oct, 2017.",['GTX 470 ZOTAC']
1316,GTX 970 WF3 OC,8 GB DDR5,285,CCMINER,WINDOWS 10 x64,N/A,"Jun, 2017.",['GTX 970 WF3 OC']
1317,SAPPHIRE HD 6870 (OC),1 GB DDR5,285,CLAYMORE 9.7,WINDOWS 10 x64,N/A,"Nov, 2017.",['SAPPHIRE HD 6870 (OC)']
1318,EVGA GEFORCE 750 TI FTW @ 1375/3250 MHZ,2 GB DDR5,285,XMRIG  2.4.2 CUDA 8,WINDOWS 10 x64,N/A,"Dec, 2017.",['EVGA GEFORCE 750 TI FTW @ 1375/3250 MHZ']
1319,MSI RX 550 AERO ITX 4G OC,4 GB DDR3,284,XMR-STAK,UBUNTU 16.04 x64,N/A,"Dec, 2017.",['MSI RX 550 AERO ITX 4G OC']
1320,ASUS DUAL FAN RX 460 2GB DDR5,2 GB DDR3,283,CLAYMORE MINER 9.7,WINDOWS 7 x64,70 W,"Aug, 2017.",['ASUS DUAL FAN RX 460 2GB DDR5']
1321,ASUS  STRIX GTX 960 (GPU C;LOCK: 1493MGZ),2 GB DDR5,282,XMRIG-NVIDIA-2.4.2-CUDA8-WIN64,WINDOWS 7 x64,60 W,"Nov, 2017.",['ASUS  STRIX GTX 960 (GPU C;LOCK: 1493MGZ)']
1322,GTX 960 (CORE 1255MHZ MEM 1891MHZ),4 GB DDR5,281,"XMR-STAK-NVIDIA (threads:18, blocks:30)",WINDOWS 7 x64,N/A,"Sep, 2017.",['GTX 960 (CORE 1255MHZ MEM 1891MHZ)']
1323,ASUS GTX 960 (OC - CORE:1450MHZ MEM:1500MHZ),2 GB DDR5,280,XMR-STACK-NVIDIA,WINDOWS 10 x64,N/A,"Apr, 2017.",['ASUS GTX 960 (OC - CORE:1450MHZ MEM:1500MHZ)']
1324,RX 550,4 GB DDR5,280,XMR AMD STAK,WINDOWS 10 x64,N/A,"Sep, 2017.",['RX 550']
1325,"GTX 750 (CLOCK+140,MEM+1400)",2 GB DDR5,280,XMR-STAK-NVIDIA 1.3.1,UBUNTU 16.04 x64,N/A,"Nov, 2017.","['GTX 750 (CLOCK+140,MEM+1400)']"
1326,SAPPHIRE HD 5870 (950/1175),1 GB DDR5,280,CLAYMORE 9.7,WINDOWS 7 x64,N/A,"Dec, 2017.",['SAPPHIRE HD 5870 (950/1175)']
1327,RADEON HD6930,1 GB DDR5,278,CLAYMORE CRYPTONOTE GPU MINER V9.3 BETA,WINDOWS 7 x64,230 W,"Jan, 2017.",['RADEON HD6930']
1328,GTX 970M,6 GB DDR5,278,XMR STAK NVIDIA,WINDOWS 10 x64,N/A,"Sep, 2017.",['GTX 970M']
1329,GTX 660 TI,2 GB DDR5,278,"XMR-STAK (THREADS:32, BLOCKS:21)",WINDOWS 7 x64,160 W,"Dec, 2017.",['GTX 660 TI']
1330,ASUS STRIX GTX 750TI,2 GB DDR5,277,CCMINER,WINDOWS 7 x64,75 W,"Jan, 2017.",['ASUS STRIX GTX 750TI']
1331,ASUS STRIX GTX 1050TI G,4 GB DDR5,277,CCMINER SKUNK-KRNLX FORK,WINDOWS 10 x64,N/A,"Sep, 2017.",['ASUS STRIX GTX 1050TI G']
1332,GTX 650TI BOOST,2 GB DDR5,277,XMR-STAK-NVIDIA,WINDOWS 10 x64,N/A,"Dec, 2017.",['GTX 650TI BOOST']
1333,ASUS GTX 750 OC 1GB,1 GB DDR5,276,CCMINER,WINDOWS 10 x64,60 W,"Dec, 2017.",['ASUS GTX 750 OC 1GB']
1334,XFX 6870,1 GB DDR5,276,CLAYMORE CRYTONOTE 9.7 (LOW INTENSITY),WINDOWS 7 x64,N/A,"Dec, 2017.",['XFX 6870']
1335,ASUS GEFORCE GTX 750TI OC EDITION,2 GB DDR5,275,"XMRMINER THREADS 48 X BLOCKS 5, CORE@1507 MEM@2961",WINDOWS 8.1 x64,N/A,"Jun, 2017.",['ASUS GEFORCE GTX 750TI OC EDITION']
1336,MSI GEFORCE GTX 1050,2 GB DDR5,275,CCMINER CRYPTONIGHT,WINDOWS 7 x64,300 W,"Jul, 2017.",['MSI GEFORCE GTX 1050']
1337,RX 550,2 GB DDR5,275,CLAYMORE'S CRYPTONOTE GPU MINER V9.7,WINDOWS 10 x64,60 W,"Sep, 2017.",['RX 550']
1338,GTX 480 1.5GB,1 GB DDR5,275,XMR-STAK-NVIDIA,UBUNTU 16.04 x64,N/A,"Oct, 2017.",['GTX 480 1.5GB']
1339,ZOTAC GTX 750 TI,2 GB DDR5,275,"XMR-AEON-SUMO-STAK-2.0-20171031-WIN64 (T:64, B:4, BF:8, BS:100)",WINDOWS 10 x64,75 W,"Nov, 2017.",['ZOTAC GTX 750 TI']
1340,ASUS RX 550,4 GB DDR5,275,XMR-STAK,WINDOWS 10 x64,75 W,"Dec, 2017.",['ASUS RX 550']
1341,PALIT GTX 770,2 GB DDR5,274,CCMINER ( 8X72),WINDOWS 10 x64,275 W,"Nov, 2016.",['PALIT GTX 770']
1342,EVGA GEFORCE GTX 560 TI (FERMI) CLASSIFIED (012-P3-2068-KR),1 GB DDR5,274,XMR-STAK-NVIDIA,WINDOWS 10 x64,210 W,"Jul, 2017.",['EVGA GEFORCE GTX 560 TI (FERMI) CLASSIFIED (012-P3-2068-KR)']
1343,GIGABYTE GTX 660,2 GB DDR5,273,XMR STARK,WINDOWS 10 x64,N/A,"Dec, 2017.",['GIGABYTE GTX 660']
1344,POWERCOLOR HD7850 1GB,1 GB DDR5,272,CLAYMORE CRYPTONOTE GPU MINER V9.7,WINDOWS 10 x64,130 W,"Jun, 2017.",['POWERCOLOR HD7850 1GB']
1345,GTX 660 MSI,2 GB DDR5,272,XMR-STAK-NVIDIA-NOTLS,WINDOWS 7 x64,N/A,"Sep, 2017.",['GTX 660 MSI']
1346,EVGA GTX 750,1 GB DDR5,272,XMR STAK NVIDIA 1.4 (+500MEM +120CORE) 28THRS 16BLOCKS,WINDOWS 7 x64,N/A,"Oct, 2017.",['EVGA GTX 750']
1347,AMD R7 360 STOCK,4 GB DDR3,272,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Dec, 2017.",['AMD R7 360 STOCK']
1348,GTX 570,1 GB DDR5,270,CCMINER,WINDOWS 7 x64,N/A,"Nov, 2016.",['GTX 570']
1349,HD 5870 (900/1250MEM),1 GB DDR5,270,CLAYMORE 9.7 (Catalyst 15.7),WINDOWS 7 x64,N/A,"Aug, 2017.",['HD 5870 (900/1250MEM)']
1350,GIGABYTE GTX 750TI (1306/1500 MHz),2 GB DDR5,270,CCMINER 2.2.2 -L 64X8,ETHOS 1.2.0,60 W,"Nov, 2017.",['GIGABYTE GTX 750TI (1306/1500 MHz)']
1351,GTX 750TI,2 GB DDR5,270,XMR-STAK,WINDOWS 10 x64,N/A,"Dec, 2017.",['GTX 750TI']
1352,GTX 965M 4GB,4 GB DDR5,270,MINERGATE 7.2,WINDOWS XP x64,60 W,"Dec, 2017.",['GTX 965M 4GB']
1353,MSI GTX 750 TI,2 GB DDR5,270,XMR-STAK,WINDOWS 10 x64,N/A,"Dec, 2017.",['MSI GTX 750 TI']
1354,ASUS GTX 660 2GB,2 GB DDR5,269,XMRIG-NVIDIA,WINDOWS 10 x64,115 W,"Dec, 2017.",['ASUS GTX 660 2GB']
1355,RX 470,4 GB DDR5,268,MINERGATE V6.6,WINDOWS 10 x64,120 W,"May, 2017.",['RX 470']
1356,SAPPHIRE RADEON HD 7850,1 GB DDR5,268,XMR-STAK,UBUNTU 16.04 x64,N/A,"Dec, 2017.",['SAPPHIRE RADEON HD 7850']
1357,NVIDIA GTX TITAN,6 GB DDR5,267,"CCMINER, SLIGHT OVERCLOCK, ORIGINAL TITAN",WINDOWS 10 x64,N/A,"Jun, 2017.",['NVIDIA GTX TITAN']
1358,ASUS HD 6870 DIRECT CUII,1 GB DDR5,266,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA LOW INTENSITY MODE,WINDOWS 10 x64,230 W,"Aug, 2017.",['ASUS HD 6870 DIRECT CUII']
1359,GTX 960,4 GB DDR5,266,"XMR-STAK (THREADS:40, BLOCKS:24)",WINDOWS 7 x64,120 W,"Dec, 2017.",['GTX 960']
1360,RX 550 @ 1206 1750,4 GB DDR5,264,CLAYMORE GPU XMR,WINDOWS 10 x64,75 W,"Aug, 2017.",['RX 550 @ 1206 1750']
1361,ASUS GTX 560 DIRECTCUII,1 GB DDR5,264,XMR-STAK,WINDOWS 10 x64,170 W,"Dec, 2017.",['ASUS GTX 560 DIRECTCUII']
1362,GEFORCE GTX 950,2 GB DDR5,261,CLAYMORE GPU 9.5,WINDOWS 10 x64,N/A,"Sep, 2016.",['GEFORCE GTX 950']
1363,ASUS GTX 950,2 GB DDR5,260,MINERGATE 7.0,WINDOWS 10 x64,N/A,"Nov, 2017.",['ASUS GTX 950']
1364,GTX 950,4 GB DDR5,260,MINERGATE 7.2,WINDOWS 10 x64,N/A,"Dec, 2017.",['GTX 950']
1365,RX 550,2 GB DDR3,258,CLAYMORE 9.7,WINDOWS 10 x64,60 W,"Oct, 2017.",['RX 550']
1366,MSI GEFORCE GTX 780 TF 3GD5/OC,3 GB DDR5,257,CCMINER-CRYPTONIGHT BY TSIV,WINDOWS 10 x64,250 W,"Mar, 2017.",['MSI GEFORCE GTX 780 TF 3GD5/OC']
1367,XFX CORE EDITION RADEON HD 7850,1 GB DDR5,257,XMR-STAK,UBUNTU 16.04 x64,N/A,"Dec, 2017.",['XFX CORE EDITION RADEON HD 7850']
1368,MSI RX 550 2GB LOW PROFILE,2 GB DDR5,256,CLAYMORE 9.7,WINDOWS SERVER 2008 R2,N/A,"Sep, 2017.",['MSI RX 550 2GB LOW PROFILE']
1369,GTX 470 1.2GB,1 GB DDR5,256,XMR-STAK-NVIDIA,UBUNTU 16.04 x64,N/A,"Oct, 2017.",['GTX 470 1.2GB']
1370,GTX 1070 TI,8 GB DDR5,256,MINERGATE,WINDOWS 10 x64,N/A,"Nov, 2017.",['GTX 1070 TI']
1371,NVIDIA GTX 750 TI,2 GB DDR3,255,XMRIG (+112 MHZ CORE & +333 MHZ MEMORY),WINDOWS 10 x64,N/A,"Nov, 2017.",['NVIDIA GTX 750 TI']
1372,EVGA GTX 960 SSC,2 GB DDR5,254,CCMINER,WINDOWS 7 x64,N/A,"Jun, 2017.",['EVGA GTX 960 SSC']
1373,GTX 560 TI,1 GB DDR5,254,XMRIG NVIDIA,WINDOWS 7 x64,N/A,"Nov, 2017.",['GTX 560 TI']
1374,ASUS GTX 750 1GD5 PHOC,1 GB DDR5,253,XMR-STAK-NVIDIA,WINDOWS 7 x64,60 W,"Jun, 2017.",['ASUS GTX 750 1GD5 PHOC']
1375,GTX 560 TI,1 GB DDR5,253,XMR-STAK-NVIDIA,UBUNTU 14.04 x64,225 W,"Dec, 2017.",['GTX 560 TI']
1376,MSI R7 260 WITH ASUS R7 260X BIOS,1 GB DDR5,251,CLAYMORE GPU 9.7 (-h 256 -li 1 -a 1 gpu 1188 memory 1750),WINDOWS 7 x64,N/A,"Sep, 2017.",['MSI R7 260 WITH ASUS R7 260X BIOS']
1377,GTX 950M OC,2 GB DDR5,251,XMR-STAK-NVIDIA,WINDOWS 10 x64,N/A,"Nov, 2017.",['GTX 950M OC']
1378,ZOTAC GTX 770,2 GB DDR5,250,MINERGATE,WINDOWS 10 x64,N/A,"Sep, 2016.",['ZOTAC GTX 770']
1379,R9 290,4 GB DDR5,250,WOLF XMR,WINDOWS 10 x64,250 W,"Dec, 2016.",['R9 290']
1380,NVIDIA GTX 960,3 GB DDR3,250,CCMINER,WINDOWS 7 x64,N/A,"Jan, 2017.",['NVIDIA GTX 960']
1381,GTX 660,2 GB DDR5,250,CCMINER,WINDOWS 10 x64,130 W,"Mar, 2017.",['GTX 660']
1382,RX 550,2 GB DDR5,250,CLAYMORE 9.7,WINDOWS 10 x64,65 W,"Jul, 2017.",['RX 550']
1383,GTX 660,2 GB DDR5,250,MINERGATE,WINDOWS 10 x64,120 W,"Aug, 2017.",['GTX 660']
1384,750TI,2 GB DDR5,250,"XMR-STAK-NVIDIA (THREADS: 32, BLOCKS: 15)",UBUNTU 16.04 x64,60 W,"Oct, 2017.",['750TI']
1385,750 TI,2 GB DDR5,250,MINERGATE,WINDOWS 7 x64,60 W,"Oct, 2017.",['750 TI']
1386,GTX 960,2 GB DDR5,250,MINERGATE,WINDOWS 10 x64,N/A,"Oct, 2017.",['GTX 960']
1387,TESLA M2070Q,6 GB DDR5,250,MINERGATE 7.1,WINDOWS 10 x64,245 W,"Dec, 2017.",['TESLA M2070Q']
1388,EVGA GTX 750 TI SC,2 GB DDR5,250,XMR-STAK 2.0.0 XCODE 8.3.3 CUDA 9.0.187 ON 10.12.6,MAC OS X,N/A,"Dec, 2017.",['EVGA GTX 750 TI SC']
1389,ASUS STRIX GTX 960,2 GB DDR5,250,XMR-STAK-NVIDIA,MAC OS X,N/A,"Dec, 2017.",['ASUS STRIX GTX 960']
1390,ASUS GEFORCE GTX 750 (NO FAN),2 GB DDR5,250,"XMR-STAK 2.0.0 (OC GPU: +256, MEM: +405, PT 100%)",WINDOWS 10 x64,60 W,"Dec, 2017.",['ASUS GEFORCE GTX 750 (NO FAN)']
1391,GTX 570,1 GB DDR3,250,CCMINER,WINDOWS 10 x64,90 W,"Dec, 2017.",['GTX 570']
1392,GTX 950M,4 GB DDR5,248,"XMR-STAK-NVIDIA (32 threads 9 blocks, 0 for bsleep and other one)",WINDOWS 10 x64,75 W,"Sep, 2017.",['GTX 950M']
